concept_id,jlpt_level,pattern,meaning,source,source_id,review_status
n4-grammar-potential-form,N4,"Verb → potential form","can do / is able to do","Japanese Language Data",potential-form,draft
n4-grammar-passive-form,N4,"Verb → passive form","is done (passive); also expresses adversity / indirect affect","Japanese Language Data",passive-form,draft
n4-grammar-causative-form,N4,"Verb → causative form","make / let someone do something","Japanese Language Data",causative-form,draft
n4-grammar-ta-koto-ga-aru,N4,"Verb-た + ことがある","have done ___ (experience)","Japanese Language Data",ta-koto-ga-aru,draft
n4-grammar-tsumori-intention,N4,"Verb (dictionary form) + つもり","intend to / plan to ___","Japanese Language Data",tsumori-intention,draft
n4-grammar-to-omou,N4,"Plain form + と思う","I think (that) ___","Japanese Language Data",to-omou,draft
n4-grammar-to-iu,N4,"Quoted phrase + と言う","say that ___; be called ___","Japanese Language Data",to-iu,draft
n4-grammar-darou-deshou-conjecture,N4,"Plain form + だろう / でしょう","probably / I guess / it will probably be","Japanese Language Data",darou-deshou-conjecture,draft
n4-grammar-kamoshirenai-might,N4,"Plain form + かもしれない","might / may / perhaps","Japanese Language Data",kamoshirenai-might,draft
n4-grammar-hazu-expected,N4,"Plain form + はず","should be / ought to be / is expected to","Japanese Language Data",hazu-expected,draft
n4-grammar-tara-conditional,N4,"Verb-た + ら","if / when ___ (general conditional)","Japanese Language Data",tara-conditional,draft
n4-grammar-ba-conditional,N4,"Verb → ば form","if ___ (general/hypothetical conditional)","Japanese Language Data",ba-conditional,draft
n4-grammar-to-conditional,N4,"Verb (dictionary form) + と","whenever / when (natural consequence)","Japanese Language Data",to-conditional,draft
n4-grammar-nara-conditional,N4,"X + なら","if (it is the case that) ___; as for ___","Japanese Language Data",nara-conditional,draft
n4-grammar-volitional-form,N4,"Verb → volitional form","let's ___; I shall ___ (plain volitional)","Japanese Language Data",volitional-form,draft
n4-grammar-te-wa-ikenai-prohibition,N4,"Verb-て + はいけない / はいけません","must not ___ (prohibition)","Japanese Language Data",te-wa-ikenai-prohibition,draft
n4-grammar-te-mo-ii-permission,N4,"Verb-て + もいい / もいいです","may / it's okay to ___ (permission)","Japanese Language Data",te-mo-ii-permission,draft
n4-grammar-nakereba-naranai,N4,"Verb-ない stem + なければならない","must / have to / need to","Japanese Language Data",nakereba-naranai,draft
n4-grammar-nakute-mo-ii,N4,"Verb-なく + てもいい","don't have to / it's okay not to","Japanese Language Data",nakute-mo-ii,draft
n4-grammar-node-cause,N4,"Plain form + ので","because / since ___ (softer, more objective than から)","Japanese Language Data",node-cause,draft
n4-grammar-ga-kedo-although,N4,"Clause + が / けど / けれども","but / although / however","Japanese Language Data",ga-kedo-although,draft
n4-grammar-n-desu-explanation,N4,"Plain form + んです / のです","explains, gives reason, or softly asserts: 'it's that ___'","Japanese Language Data",n-desu-explanation,draft
n4-grammar-ni-naru-become,N4,"X + になる","become ___","Japanese Language Data",ni-naru-become,draft
n4-grammar-ni-suru-decide,N4,"X + にする","decide on / make it ___","Japanese Language Data",ni-suru-decide,draft
n4-grammar-hajimeru-auxiliary,N4,"Verb stem + 始める","begin to ___ / start ___ing","Japanese Language Data",hajimeru-auxiliary,draft
n4-grammar-owaru-finish,N4,"Verb stem + 終わる","finish ___ing","Japanese Language Data",owaru-finish,draft
n4-grammar-sugiru-too-much,N4,"Verb stem / adj stem + すぎる","too much / overly ___","Japanese Language Data",sugiru-too-much,draft
n4-grammar-yasui-easy,N4,"Verb stem + やすい","easy to ___","Japanese Language Data",yasui-easy,draft
n4-grammar-nikui-hard,N4,"Verb stem + にくい","hard to ___ / difficult to ___","Japanese Language Data",nikui-hard,draft
n4-grammar-noun-modifying-clause,N4,"Plain-form clause + Noun","noun-modifying (attributive) clauses: 'the ___ that ___'","Japanese Language Data",noun-modifying-clause,draft
n4-grammar-tari-tari-suru,N4,"Verb-た + り + Verb-た + り + する","do things like X and Y (non-exhaustive list of actions)","Japanese Language Data",tari-tari-suru,draft
n4-grammar-jidoushi-tadoushi,N4,"Transitive verb (他動詞) vs intransitive verb (自動詞) pairs","verb pairs distinguishing 'X does Y' (transitive) from 'Y happens' (intransitive)","Japanese Language Data",jidoushi-tadoushi,draft
