concept_id,jlpt_level,expression,reading,meaning,source,source_id,review_status
n4-vocab-2394370-44999f8c,N4,あ,あ,Ah,"Jonathan Waller JLPT vocabulary list",2394370,seed
n4-vocab-2085080-81fc2484,N4,ああ,ああ,"like that","Jonathan Waller JLPT vocabulary list",2085080,seed
n4-vocab-1151120-dd5be587,N4,あいさつ,あいさつ,"to greet","Jonathan Waller JLPT vocabulary list",1151120,seed
n4-vocab-1215230-1b4d9174,N4,間,あいだ,"a space","Jonathan Waller JLPT vocabulary list",1215230,seed
n4-vocab-1284430-ea658d8c,N4,合う,あう,"to match","Jonathan Waller JLPT vocabulary list",1284430,seed
n4-vocab-1383260-9237d9f5,N4,あかちゃん,あかちゃん,infant,"Jonathan Waller JLPT vocabulary list",1383260,seed
n4-vocab-1352290-954799a1,N4,上る,あがる,"to rise","Jonathan Waller JLPT vocabulary list",1352290,seed
n4-vocab-1383310-08088d3b,N4,赤ん坊,あかんぼう,baby,"Jonathan Waller JLPT vocabulary list",1383310,seed
n4-vocab-1586270-d222d884,N4,空く,あく,"to open, to become empty","Jonathan Waller JLPT vocabulary list",1586270,seed
n4-vocab-1015220-a4496366,N4,アクセサリー,アクセサリー,accessory,"Jonathan Waller JLPT vocabulary list",1015220,seed
n4-vocab-1352320-52c1d677,N4,あげる,あげる,"to give","Jonathan Waller JLPT vocabulary list",1352320,seed
n4-vocab-1390800-411970bd,N4,浅い,あさい,"shallow,superficial","Jonathan Waller JLPT vocabulary list",1390800,seed
n4-vocab-1526960-ae54e298,N4,味,あじ,flavour,"Jonathan Waller JLPT vocabulary list",1526960,seed
n4-vocab-1015840-8be077a6,N4,アジア,アジア,Asia,"Jonathan Waller JLPT vocabulary list",1015840,seed
n4-vocab-1584660-223d5b00,N4,明日,あす,tomorrow,"Jonathan Waller JLPT vocabulary list",1584660,seed
n4-vocab-1542070-0cac4e4f,N4,遊び,あそび,play,"Jonathan Waller JLPT vocabulary list",1542070,seed
n4-vocab-1333550-72aab6a6,N4,集る,あつまる,"to gather","Jonathan Waller JLPT vocabulary list",1333550,seed
n4-vocab-1333560-3ec8ea21,N4,集める,あつめる,"to collect something","Jonathan Waller JLPT vocabulary list",1333560,seed
n4-vocab-1017330-3fe714d2,N4,アナウンサー,アナウンサー,announcer,"Jonathan Waller JLPT vocabulary list",1017330,seed
n4-vocab-1929050-efecc5d0,N4,アフリカ,アフリカ,Africa,"Jonathan Waller JLPT vocabulary list",1929050,seed
n4-vocab-1149830-a9b2fb0f,N4,アメリカ,アメリカ,America,"Jonathan Waller JLPT vocabulary list",1149830,seed
n4-vocab-1323010-81916ddb,N4,謝る,あやまる,"to apologize","Jonathan Waller JLPT vocabulary list",1323010,seed
n4-vocab-1019280-bba9c7ae,N4,アルコール,アルコール,alcohol,"Jonathan Waller JLPT vocabulary list",1019280,seed
n4-vocab-1019420-787c9339,N4,アルバイト,アルバイト,"part-time job","Jonathan Waller JLPT vocabulary list",1019420,seed
n4-vocab-1153890-afd1a981,N4,安心,あんしん,relief,"Jonathan Waller JLPT vocabulary list",1153890,seed
